#      O         NLL         <E>      <|M|>
17.718076   18.737160   -1.974206   0.992756   
17.586787   18.549892   -1.977080   0.993483   
17.566594   18.425213   -1.978269   0.993780   
17.524720   18.417444   -1.974450   0.992825   
17.706772   18.625658   -1.978115   0.993733   
17.707953   18.625879   -1.985159   0.995503   
17.868836   18.831753   -1.966287   0.990785   
17.651432   18.590523   -1.981451   0.994575   
17.709020   18.625740   -1.977262   0.993421   
17.870092   18.941057   -1.980829   0.994414   
17.827649   18.820000   -1.966026   0.990719   
17.861528   18.932915   -1.983137   0.994997   
17.797706   18.760763   -1.971694   0.992136   
17.845412   18.930353   -1.971592   0.992111   
17.791383   18.758821   -1.968278   0.991244   
17.793089   18.760454   -1.983700   0.995138   
17.803021   18.867128   -1.983077   0.994982   
17.669163   18.592768   -1.981237   0.994522   
17.924103   18.955128   -1.977197   0.993512   
17.760634   18.639357   -1.979324   0.994044   
17.815410   18.761091   -1.967692   0.991136   
17.741274   18.636600   -1.978135   0.993747   
17.903525   18.951651   -1.976325   0.993294   
17.929288   18.954901   -1.973738   0.992595   
17.922607   18.954668   -1.982712   0.994891   
17.827300   18.818892   -1.982843   0.994890   
17.828220   18.818958   -1.986821   0.995918   
17.859635   18.939840   -1.978606   0.993856   
17.985613   18.997421   -1.983853   0.995176   
18.005752   19.025526   -1.978571   0.993856   
17.874712   18.830772   -1.980089   0.994235   
17.951686   18.986641   -1.982150   0.994750   
17.998540   19.018017   -1.979038   0.993972   
17.894494   18.840441   -1.979721   0.994120   
17.931636   18.954996   -1.980849   0.994425   
17.981833   19.016708   -1.972459   0.992323   
18.069128   19.046341   -1.988159   0.996252   
18.057725   19.045664   -1.980073   0.994231   
18.045958   19.037659   -1.981856   0.994677   
18.034611   19.028845   -1.988713   0.996390   
18.059616   19.045961   -1.980256   0.994277   
18.077130   19.156532   -1.979157   0.993968   
18.020121   19.034418   -1.978791   0.993910   
17.993493   19.017647   -1.985230   0.995520   
18.021839   19.034548   -1.975001   0.992963   
17.992752   19.017384   -1.981969   0.994705   
18.007835   19.025314   -1.975418   0.993067   
18.007551   19.025032   -1.974703   0.992889   
17.957777   18.904074   -1.977567   0.993603   
17.982142   18.914232   -1.982872   0.994648   
18.035006   19.035837   -1.974333   0.992796   
18.033638   19.035728   -1.977971   0.993705   
18.086260   19.213840   -1.987859   0.996174   
18.111070   19.217480   -1.989596   0.996612   
18.125434   19.218716   -1.981247   0.994515   
18.115035   19.217747   -1.976332   0.993293   
18.127187   19.220407   -1.978843   0.993924   
18.099392   19.213404   -1.981066   0.994479   
18.124034   19.220156   -1.981915   0.994642   
18.185227   19.246668   -1.976325   0.993294   
18.179682   19.238642   -1.973827   0.992670   
18.148306   19.235056   -1.980218   0.994267   
18.130191   19.219069   -1.974901   0.992934   
18.192374   19.241676   -1.969965   0.991668   
18.196699   19.269815   -1.984361   0.995303   
18.122163   19.225201   -1.987918   0.996191   
18.145393   19.233688   -1.977414   0.993566   
18.153253   19.234112   -1.978859   0.993928   
18.215258   19.298071   -1.981274   0.994531   
18.200994   19.295374   -1.976059   0.993227   
18.201147   19.295387   -1.981825   0.994669   
18.289999   19.321695   -1.972640   0.992373   
18.184766   19.266607   -1.984549   0.995350   
18.262514   19.311113   -1.980315   0.994274   
18.311007   19.329493   -1.990079   0.996733   
18.208698   19.295876   -1.969396   0.991562   
18.119421   19.116615   -1.971212   0.992014   
18.148240   19.154287   -1.982444   0.994824   
18.171932   19.157883   -1.981119   0.994492   
18.195495   19.161022   -1.970270   0.991780   
18.179731   19.158207   -1.978413   0.993816   
18.206880   19.189957   -1.978093   0.993471   
18.125571   19.144651   -1.989525   0.996594   
18.232646   19.199919   -1.985548   0.995594   
18.176211   19.157429   -1.982454   0.994826   
18.129445   19.137203   -1.985297   0.995537   
18.199283   19.194256   -1.982397   0.994812   
18.186277   19.165504   -1.971364   0.992038   
18.148942   19.147003   -1.989163   0.996504   
18.124164   19.138294   -1.981385   0.994559   
18.119828   19.136415   -1.970691   0.991829   
18.084130   19.130186   -1.981036   0.994472   
18.105458   19.135292   -1.984558   0.995352   
18.264230   19.210476   -1.986593   0.995861   
18.107540   19.136023   -1.969205   0.991514   
18.184692   19.158432   -1.979709   0.994137   
18.137409   19.151634   -1.979035   0.993972   
18.182139   19.158369   -1.974867   0.992815   
18.210472   19.189100   -1.979104   0.993920   
18.186886   19.159843   -1.973166   0.992504   
18.114859   19.116451   -1.985887   0.995666   
18.046529   18.986280   -1.960119   0.989243   
18.112355   19.116743   -1.976020   0.993218   
18.069713   18.994364   -1.982542   0.994848   
18.127048   19.119324   -1.984641   0.995373   
18.089106   19.111700   -1.982814   0.994916   
18.004563   18.966843   -1.969976   0.991707   
18.089712   19.111620   -1.979943   0.994198   
18.184578   19.267208   -1.985958   0.995702   
18.206786   19.296783   -1.968975   0.991457   
17.935320   18.928980   -1.976508   0.993340   
18.163762   19.237446   -1.975819   0.993168   
18.062429   18.986826   -1.976462   0.993328   
18.106207   19.116142   -1.976993   0.993461   
18.008280   18.972258   -1.981882   0.994683   
17.894103   18.922712   -1.972050   0.992221   
18.142701   19.234768   -1.985940   0.995698   
18.199133   19.271564   -1.972827   0.992420   
18.238588   19.309183   -1.990143   0.996749   
18.044054   18.985357   -1.986146   0.995749   
17.898140   18.917088   -1.978695   0.993887   
18.080601   19.212318   -1.974795   0.992912   
18.029308   18.983292   -1.969874   0.991681   
17.942485   18.936148   -1.978524   0.993844   
18.089856   19.213358   -1.981208   0.994501   
18.048340   19.097784   -1.975935   0.993038   
18.174203   19.247128   -1.975544   0.993099   
18.120218   19.218552   -1.974318   0.992792   
18.007767   18.972836   -1.975384   0.992668   
18.130656   19.220148   -1.980821   0.994418   
18.012438   19.092079   -1.979571   0.994105   
17.994293   19.084084   -1.984283   0.995283   
17.980514   19.075415   -1.976796   0.993323   
18.001901   19.084852   -1.987350   0.996050   
18.039125   19.095711   -1.984499   0.995337   
18.093654   19.222414   -1.975887   0.993184   
18.047491   19.098181   -1.978966   0.993954   
18.065588   19.099726   -1.975901   0.993188   
17.981657   19.075651   -1.980817   0.994417   
18.044613   19.098280   -1.985297   0.995537   
18.079484   19.220200   -1.981602   0.994613   
17.871562   18.887802   -1.958479   0.988833   
18.094063   19.221153   -1.975761   0.993153   
18.239101   19.304356   -1.978182   0.993758   
17.921020   19.013186   -1.981244   0.994416   
18.087865   19.222389   -1.984132   0.995223   
17.942602   19.016306   -1.979232   0.994021   
18.091750   19.222504   -1.983225   0.995019   
18.102858   19.224936   -1.971430   0.991787   
18.012932   19.092169   -1.986957   0.995952   
18.230821   19.302607   -1.975825   0.993169   
18.186285   19.269953   -1.980093   0.994236   
18.053576   19.098003   -1.989500   0.996588   
18.126608   19.254736   -1.987077   0.995981   
17.926497   19.014030   -1.972562   0.992161   
18.183000   19.268677   -1.987378   0.996057   
18.078488   19.239992   -1.974761   0.992903   
